"code_muni","year","soy","beef","coffee","cocoa","rubber","palm","soy_perc","beef_perc","coffee_perc","cocoa_perc","rubber_perc","palm_perc"
"1301209","2021",0,2000,0,170,0,0,0,0.00000890464052518288,0,0.000282947581463938,0,0
"1301308","2021",0,2024,0,20,0,0,0,0.00000901149621148507,0,0.0000332879507604632,0,0
"1301407","2021",0,11689,0,0,0,0,0,0.0000520431715494313,0,0,0,0
"1301506","2021",0,28007,19,0,0,0,0,0.000124696133594398,0.0000103621291448517,0,0,0
"1301605","2021",0,2546,0,70,0,0,0,0.0000113356073885578,0,0.000116507827661621,0,0
"1301654","2021",0,34434,2,0,0,0,0,0.000153311195922074,0.00000109075043630017,0,0,0
"1301704","2021",3000,27800,14,25,0,0,0.0000766402038261549,0.000123774503300042,0.00000763525305410122,0.000041609938450579,0,0
"1301803","2021",0,18041,0,0,0,0,0,0.0000803243098574121,0,0,0,0
"1301852","2021",0,7021,0,0,0,0,0,0.0000312597405636545,0,0,0,0
"1301902","2021",0,47204,7,0,17,0,0,0.000210167325675366,0.00000381762652705061,0,0.0000956254183612053,0
"1301951","2021",0,950,0,0,0,0,0,0.00000422970424946187,0,0,0,0
"1302009","2021",0,3902,0,10,0,0,0,0.0000173729536646318,0,0.0000166439753802316,0,0
"1302108","2021",0,932,0,0,0,0,0,0.00000414956248473522,0,0,0,0
"1302207","2021",0,1320,0,0,0,0,0,0.0000058770627466207,0,0,0,0
"1302306","2021",0,800,0,66,0,0,0,0.00000356185621007315,0,0.000109850237509529,0,0
"1302405","2021",0,328300,0,0,0,0,0,0.00146169674220877,0,0,0,0
"1302504","2021",0,13480,0,0,0,0,0,0.0000600172771397326,0,0,0,0
"1302553","2021",0,9315,0,0,0,0,0,0.0000414733632460392,0,0,0,0
"1302603","2021",0,4810,0,0,0,0,0,0.0000214156604630648,0,0,0,0
"1302702","2021",0,133250,3,112,3,0,0,0.000593271674990309,0.00000163612565445026,0.000186412524258594,0.000016875073828448,0
