"CD_MUN","freq"
"3105608",1
"3105905",1
"3106200",12
"3106655",14
"3106705",4
"3106903",2
"3107802",2
"3108107",10
"3109006",1
"3109303",3
"3110004",2
"3110103",1
"3110707",1
"3111200",1
"3112059",1
"3113008",2
"3113206",1
"3113305",22
"3114105",4
"3115300",1
"3115458",1
"3117504",1
"3118304",1
"3118403",1
"3118601",4
"3120870",4
"3122009",31
"3122306",1
"3122801",1
"3122900",5
"3123528",1
"3124005",1
"3124104",2
"3124203",11
"3124906",7
"3125002",1
"3125309",5
"3125952",3
"3126901",1
"3127305",1
"3127701",107
"3129806",1
"3130101",1
"3130903",2
"3131208",3
"3131307",3
"3131901",2
"3132404",1
"3132800",3
"3133105",1
"3133709",1
"3133808",3
"3135902",1
"3136207",1
"3136306",2
"3136603",2
"3136652",1
"3136702",9
"3137536",1
"3137601",3
"3137809",1
"3138005",4
"3139409",2
"3139805",2
"3140001",1
"3141108",4
"3142106",2
"3142205",1
"3143906",38
"3144003",2
"3144656",7
"3144904",1
"3145208",5
"3145505",3
"3145703",1
"3145877",4
"3145901",1
"3146107",1
"3146206",1
"3146404",1
"3146750",1
"3147006",25
"3147105",2
"3147600",1
"3148202",1
"3148608",1
"3148707",3
"3149002",5
"3149952",1
"3151107",2
"3152105",4
"3153509",2
"3153608",1
"3154309",1
"3154606",1
"3155900",1
"3156205",1
"3156452",1
"3156700",2
"3157005",2
"3157203",1
"3157252",1
"3157377",5
"3157401",1
"3157807",1
"3157906",1
"3159308",1
"3160405",1
"3161403",8
"3162708",11
"3162906",1
"3163706",7
"3164472",1
"3165552",1
"3167202",1
"3168002",3
"3168606",1
"3168705",1
"3169208",2
"3169307",1
"3170057",1
"3170578",1
"3170701",1
"3171006",3
"3171204",2
"3171303",1
"3171402",1
"3200102",11
"3200201",1
"3200409",4
"3200607",4
"3201308",3
"3201407",1
"3201902",1
"3202405",4
"3202801",1
"3203056",1
"3203205",19
"3203403",1
"3204500",1
"3204609",4
"3204906",12
