"CD_MUN","year","deforestation","freq","terra","trabalhoescravo","embargoes","perc_area","consolidated","consolidated_sa"
1200054,"2022",0.014888232813159,0,0.0232558139534884,0,0.00854700854700855,0.896823973077021,0.00933821106273119,0.00933821106273119
1200104,"2021",0.0564318852804724,0,0.116279069767442,0,0,0,0.0431777387619786,0.0431777387619786
1200104,"2022",0.0550822437789962,0,0.0232558139534884,0,0.0170940170940171,0.748113349937049,0.0190864149653003,0.0190864149653003
1200138,"2021",0.0331646281456488,0,0.116279069767442,0,0,0,0.0373609244782727,0.0373609244782727
1200138,"2022",0.0440742302825812,0,0.0930232558139535,0,0.0113960113960114,0.234964330526387,0.0296986994985092,0.0296986994985092
1200179,"2021",0.0274567692956558,0,0.0465116279069767,0,0,0,0.0184920993006581,0.0184920993006581
1200179,"2022",0.0287642345002109,0,0.0465116279069767,0,0.0740740740740741,0.342465686857894,0.0298699872962523,0.0298699872962523
1200203,"2021",0.0477154505834388,0,0.0930232558139535,0,0,0,0.0351846765993481,0.0351846765993481
1200203,"2022",0.0535638970898355,0,0.13953488372093,0,0.0484330484330484,0.497758586428524,0.0483063658487628,0.0483063658487628
1200252,"2021",0.0107549557148882,0,0.0232558139534884,0,0,0,0.00850269241709415,0.00850269241709415
1200252,"2022",0.0155489947982567,0,0,0,0.00284900284900285,0.43402774906646,0.00367959952945191,0.00367959952945191
1200302,"2021",0.189638689723042,0,0,0,0,0,0.0474096724307606,0.0474096724307606
1200302,"2022",0.242134120624209,0,0.0232558139534884,0,0,0.360137145209913,0.0530779869155395,0.0530779869155395
1200328,"2021",0.0143821172501054,0,0.0232558139534884,0,0,0,0.00940948280089845,0.00940948280089845
1200328,"2022",0.017460986925348,0,0.0232558139534884,0,0,0.5725535387831,0.00814336017576727,0.00814336017576727
1200336,"2021",0.0152678194854492,0,0.0697674418604651,0,0,0,0.0212588153364786,0.0212588153364786
1200336,"2022",0.0195979193026852,0,0.0465116279069767,0,0.0170940170940171,0.765071476214354,0.0166407128607358,0.0166407128607358
1200344,"2021",0.0756221003795867,0,0.209302325581395,0,0,0,0.0712311064902455,0.0712311064902455
1200344,"2022",0.104400393645438,0,0.162790697674419,0.0863453815261044,0.0740740740740741,0.590541219818535,0.085522109384007,0.085522109384007
1200351,"2021",0.0122733024040489,0,0.0232558139534884,0,0,0,0.00888227908938432,0.00888227908938432
1200351,"2022",0.0122451848727682,0,0.0232558139534884,0,0.0142450142450142,0.92687199003397,0.00994920261425416,0.00994920261425416
1200385,"2021",0.0131590046393927,0,0.0697674418604651,0,0,0,0.0207316116249644,0.0207316116249644
1200385,"2022",0.0125825952481372,0,0.0465116279069767,0,0.0056980056980057,0.627070363097567,0.0129584457706239,0.0129584457706239
1200393,"2021",0.0102207226205539,0,0,0,0,0,0.00255518065513848,0.00255518065513848
1200393,"2022",0.0124701251230142,0,0.0232558139534884,0,0,0.696250113487683,0.00714518781530051,0.00714518781530051
1200401,"2021",0.108885139884718,0,0.232558139534884,0,0,0,0.0853608198549005,0.0853608198549005
1200401,"2022",0.175959510754956,0,0.162790697674419,0.124497991967871,0.0484330484330484,0.307949941303256,0.102336249766059,0.102336249766059
1200427,"2021",0.0196822718965275,0,0,0,0,0,0.00492056797413187,0.00492056797413187
1200427,"2022",0.0215520877266976,0,0.0232558139534884,0,0.00854700854700855,0.6750517134867,0.0106709820454389,0.0106709820454389
1200435,"2021",0.0055672711935892,0,0,0,0,0,0.0013918177983973,0.0013918177983973
1200435,"2022",0.00712779417967103,0,0.0465116279069767,0,0,0.677000025456374,0.0107278844173296,0.0107278844173296
