"CD_MUN","agua_2021","agua_2022","terra_2021","terra_2022","violencia_2021","violencia_2022","trabalhoescravo_2021","trabalhoescravo_2022"
2702306,NA,NA,1,0,NA,NA,0,0
2702355,NA,NA,0,1,NA,NA,0,0
2702900,NA,NA,1,1,NA,NA,0,0
2703106,NA,NA,1,1,NA,NA,0,0
2703304,NA,NA,0,1,NA,NA,0,0
2703759,NA,NA,0,1,NA,NA,0,0
2703809,NA,NA,1,0,NA,NA,1,0
2705507,NA,NA,0,2,NA,NA,0,0
2706422,NA,NA,2,1,NA,NA,0,0
2707404,NA,NA,0,1,NA,NA,0,0
2708501,NA,NA,0,1,0,1,0,0
2708600,NA,NA,0,1,NA,NA,0,0
2709152,NA,NA,0,1,NA,NA,0,0
2709202,NA,NA,0,2,NA,NA,0,0
2800308,NA,NA,0,1,NA,NA,0,0
2800704,NA,NA,1,1,NA,NA,0,0
2801207,NA,NA,1,0,NA,NA,2,0
2804409,NA,NA,1,0,NA,NA,0,1
2804904,NA,NA,1,1,NA,NA,0,0
2900405,NA,NA,0,2,NA,NA,0,0
2901304,NA,NA,1,0,NA,NA,0,0
2901809,NA,NA,6,6,NA,NA,0,0
2902708,NA,NA,7,3,1,0,0,0
2903201,NA,NA,0,1,NA,NA,0,0
2903904,NA,NA,2,2,1,0,0,0
2904506,NA,NA,1,0,3,0,0,0
2904704,NA,NA,2,0,NA,NA,0,0
2904902,NA,NA,0,1,NA,NA,0,5
2905503,NA,NA,1,0,NA,NA,0,0
2905701,NA,NA,1,0,NA,NA,0,0
2905909,NA,NA,2,0,NA,NA,0,0
2906006,NA,NA,12,11,NA,NA,0,0
2906824,NA,NA,1,1,NA,NA,0,0
2906907,NA,NA,0,2,NA,NA,0,0
2907103,NA,NA,1,0,NA,NA,0,0
2908309,NA,NA,1,1,NA,NA,0,0
2909109,NA,NA,0,1,NA,NA,0,0
2909901,NA,NA,1,0,NA,NA,0,0
2910701,NA,NA,0,1,0,1,0,0
2911105,NA,NA,10,0,2,0,0,0
2911303,NA,NA,0,1,NA,NA,0,0
2911808,NA,NA,0,1,NA,NA,0,0
2912400,NA,NA,1,0,1,0,0,0
2912905,NA,NA,1,0,NA,NA,0,0
2913606,NA,NA,1,1,NA,NA,0,0
2914406,NA,NA,1,0,NA,NA,0,0
2914653,NA,NA,0,2,NA,NA,0,6
2914703,NA,NA,1,0,NA,NA,0,0
2915007,NA,NA,0,1,0,2,0,0
2915601,NA,NA,2,0,NA,NA,0,0
2917706,NA,NA,1,0,NA,NA,0,0
2918407,NA,NA,1,0,NA,NA,0,0
2918555,NA,NA,0,1,NA,NA,0,0
2919207,NA,NA,1,0,NA,NA,0,2
2919405,NA,NA,1,2,NA,NA,0,0
2920205,NA,NA,1,0,NA,NA,0,0
2920502,NA,NA,0,1,NA,NA,0,0
2921401,NA,NA,5,5,NA,NA,0,0
2922003,NA,NA,1,0,NA,NA,0,0
2922250,NA,NA,0,1,NA,NA,0,0
2923001,NA,NA,0,1,NA,NA,0,0
2923209,NA,NA,1,0,NA,NA,0,0
2923506,NA,NA,0,1,NA,NA,0,0
2923704,NA,NA,0,1,NA,NA,0,0
2923902,NA,NA,0,1,0,1,0,0
2924009,NA,NA,1,1,0,1,0,0
2924504,NA,NA,4,0,NA,NA,0,0
2924801,NA,NA,0,1,NA,NA,0,0
2924900,NA,NA,0,1,NA,NA,0,0
2925253,NA,NA,1,1,NA,NA,0,0
2925303,NA,NA,2,3,2,0,0,40
2925501,NA,NA,2,6,NA,NA,0,0
2925956,NA,NA,0,1,NA,NA,0,0
2926202,NA,NA,0,1,NA,NA,30,0
2926400,NA,NA,0,1,NA,NA,0,0
2927101,NA,NA,1,0,NA,NA,0,0
2927200,NA,NA,1,1,NA,NA,1,0
2927309,NA,NA,1,0,NA,NA,0,0
2927705,NA,NA,1,1,NA,NA,0,0
2928604,NA,NA,0,1,0,1,0,0
2929503,NA,NA,0,1,NA,NA,0,0
2930105,NA,NA,1,1,NA,NA,0,0
2930303,NA,NA,0,1,0,5,0,0
2930709,NA,NA,2,0,NA,NA,0,9
2930808,NA,NA,1,0,5,0,0,0
2932507,NA,NA,2,1,NA,NA,0,0
2932804,NA,NA,1,0,NA,NA,0,0
2933307,NA,NA,0,5,NA,NA,0,67
3103405,NA,NA,1,0,NA,NA,0,0
3104502,NA,NA,3,0,NA,NA,0,0
3106200,NA,NA,1,1,NA,NA,46,46
3106408,NA,NA,1,0,NA,NA,0,0
3106507,NA,NA,1,0,NA,NA,0,0
3106655,NA,NA,1,0,NA,NA,0,0
3108107,NA,NA,1,0,NA,NA,0,0
3112059,NA,NA,1,0,NA,NA,0,0
3113404,NA,NA,1,0,NA,NA,0,0
3117836,NA,NA,1,0,NA,NA,0,0
3119807,NA,NA,1,0,1,0,19,19
3121605,NA,NA,0,4,NA,NA,0,0
3122009,NA,NA,2,0,NA,NA,0,0
3122306,NA,NA,1,0,NA,NA,0,0
3125606,NA,NA,1,1,NA,NA,0,0
3127073,NA,NA,1,0,NA,NA,0,0
3127339,NA,NA,1,1,NA,NA,0,0
3127701,NA,NA,0,1,NA,NA,0,0
3127800,NA,NA,2,3,1,4,0,0
3129004,NA,NA,1,0,NA,NA,0,0
3129103,NA,NA,1,0,NA,NA,0,0
3131703,NA,NA,1,0,NA,NA,0,0
3135209,NA,NA,4,3,2,5,0,39
3136009,NA,NA,1,0,2,0,0,0
3136579,NA,NA,1,0,NA,NA,0,0
3143906,NA,NA,5,0,NA,NA,0,0
3148004,NA,NA,1,0,NA,NA,39,39
3149150,NA,NA,1,1,NA,NA,0,0
3149309,NA,NA,1,0,NA,NA,0,0
3153301,NA,NA,0,1,NA,NA,0,0
3156452,NA,NA,6,0,NA,NA,0,0
3157104,NA,NA,1,0,NA,NA,0,0
3160702,NA,NA,0,1,NA,NA,0,0
3162450,NA,NA,1,0,NA,NA,0,0
3168606,NA,NA,1,0,NA,NA,0,0
3169208,NA,NA,1,0,NA,NA,0,0
3170578,NA,NA,3,0,NA,NA,0,0
3170909,NA,NA,0,1,0,4,0,0
3172004,NA,NA,1,0,1,0,0,0
3202405,NA,NA,0,2,NA,NA,0,0
3204252,NA,NA,1,0,NA,NA,0,0
3204906,NA,NA,2,1,NA,NA,0,0
3205309,NA,NA,0,1,NA,NA,0,0
3300704,NA,NA,1,0,NA,NA,0,0
3300936,NA,NA,1,0,NA,NA,0,0
3301009,NA,NA,1,1,NA,NA,0,0
3302403,NA,NA,1,1,NA,NA,0,0
3303500,NA,NA,1,0,NA,NA,0,0
3304128,NA,NA,1,1,NA,NA,0,0
3304151,NA,NA,0,1,NA,NA,0,0
3305000,NA,NA,0,2,NA,NA,0,0
3500709,NA,NA,0,1,0,1,0,0
3502705,NA,NA,0,1,NA,NA,0,0
3503208,NA,NA,1,1,NA,NA,0,0
3505401,NA,NA,4,0,NA,NA,0,0
3509106,NA,NA,1,0,NA,NA,0,0
3509908,NA,NA,4,0,NA,NA,0,0
3513504,NA,NA,1,0,NA,NA,0,0
3513702,NA,NA,0,1,NA,NA,0,0
3514809,NA,NA,9,3,NA,NA,0,0
3515350,NA,NA,2,0,NA,NA,0,0
3516408,NA,NA,1,0,NA,NA,0,0
3516606,NA,NA,1,1,NA,NA,0,0
3518800,NA,NA,1,0,NA,NA,0,0
3520301,NA,NA,4,1,NA,NA,0,0
3520400,NA,NA,1,1,NA,NA,0,0
3521200,NA,NA,10,1,NA,NA,0,0
