Estado,Município(s),Nome do Conflito,Data,Famílias,Categoria
Amazonas,Manaus,Comunidade Indígena Nova Vida,02/08/2022,3500,Indígenas
Amazonas,Manicoré,T. I. Lago Capanã,15/02/2022,49,Indígenas
Amazonas,Manicoré,RRiebbeiior idnoh aRsio Manicoré/15 Comunidades,01/04/2022,1000,Extrativista
Amazonas,Manicoré,Aldeia Pracuá,21/04/2022,1,Indígenas
Amazonas,Manicoré,T. I. Sepoti/Aldeia Estirão Grande,21/04/2022,27,Indígenas
Amazonas,Manicoré,RRiebbeiior idnoh aRsio Manicoré/15 Comunidades,14/06/2022,1000,Extrativista
Amazonas,Manicoré,RRiebbeiior idnoh aRsio Manicoré/15 Comunidades,16/08/2022,1000,Extrativista
Amazonas,Manicoré,T. I. Sepoti/Aldeia Estirão Grande,07/12/2022,27,Indígenas
Amazonas,Maués,Comunidade Santo Antônio do Mucajá/Rio Urupadi,03/08/2022,120,Ribeirinho
Amazonas,Maués,Com. Acãuera/Rio Urupadi,03/08/2022,30,Indígenas
Amazonas,Nhamundá,T. I. Nhamundá-Mapuera,21/09/2022,573,Indígenas
Amazonas,Nova Olinda do Norte,PAE Abacaxis 1 e 2/Terra Preta e Outras,14/03/2022,140,Ribeirinho
Amazonas,Nova Olinda do Norte,PAE Abacaxis 1 e 2/Terra Preta e Outras,04/08/2022,140,Ribeirinho
Amazonas,Novo Airão,CNoacmi.o nQaul ildoo mJbaoúla Tambor/Parque,28/03/2022,50,Quilombola
Amazonas,Novo Airão,Com. Tapiira/Parque Nacional do Jaú,28/03/2022,1,Ribeirinho
Amazonas,Novo Airão,Com. Democracia/Parque Nacional do Jaú,28/03/2022,1,Ribeirinho
Amazonas,Novo Airão,CNoacmiounniald addoe  JSaeúringalzinho/Parque,28/03/2022,1,Ribeirinho
Amazonas,Novo Airão,Com. Manapana/Parque Nacional do Jaú,28/03/2022,1,Ribeirinho
Amazonas,Novo Airão,Com. Vista Alegre/Parque Nacional do Jaú,28/03/2022,1,Ribeirinho
Amazonas,Novo Airão,Comunidade Floresta/Parque Nacional do,28/03/2022,1,Ribeirinho
Amazonas,Novo Airão,Com. Lago das Pedras/Parque Nacionaldo Jaú,28/03/2022,1,Ribeirinho
Amazonas,Novo Airão,Com. São José do Aracu/Parque Nacional,28/03/2022,1,Ribeirinho
Amazonas,Parintins,P. A. Gleba Vila Amazônia,11/05/2022,30,Assentado
Amazonas,Presidente Figueiredo,RCeagcihãooe idraa /VSiluas sduea rBaanlbaina/Igarapé da,21/01/2022,500,Atingido por barragem
Amazonas,Presidente Figueiredo,BCaolmbiunnaidade Bela Vista/Hidrelétrica,14/04/2022,187,Posseiro
Amazonas,Presidente Figueiredo,Com. Céu e Mar/Hidrelétrica Balbina,14/04/2022,187,Posseiro
Amazonas,Presidente Figueiredo,BAsaslbeinntaamento PSD Morena/Hidrelétrica,14/04/2022,187,Assentado
Amazonas,Presidente Figueiredo,BRaalmbianl aCarlos Augusto/Hidrelétrica,14/04/2022,187,Posseiro
Amazonas,Presidente Figueiredo,Com. São José/Hidrelétrica Balbina,14/04/2022,187,Posseiro
Amazonas,Presidente Figueiredo,Com. São Jorge/Hidrelétrica Balbina,14/04/2022,187,Posseiro
Amazonas,Presidente Figueiredo,Com. Maracana/Hidrelétrica Balbina,14/04/2022,187,Posseiro
Amazonas,Presidente Figueiredo,BCaolmbiunnaidade Maracabóia/Hidrelétrica,14/04/2022,187,Posseiro
Amazonas,Presidente Figueiredo,Com. Terra Santa/Km 152/BR-174,20/05/2022,25,Posseiro
Amazonas,Presidente Figueiredo,Com. Terra Santa/Km 152/BR-174,21/05/2022,25,Posseiro
Amazonas,Presidente Figueiredo,Comunidade Renascer,20/06/2022,1,Posseiro
Amazonas,Presidente Figueiredo,Com. Nova União II/BR-174/Km 135,20/06/2022,60,Posseiro
Amazonas,Presidente Figueiredo,Com. Castanhal/BR-174/Km 135,20/06/2022,115,Posseiro
Amazonas,Presidente Figueiredo,BCoR m1u7n4i dKaMd e6 7S aZnFt o0 4A/nÁtorenai od da aS Purfroammeassa/,31/12/2022,2000,Posseiro
Amazonas,Rio Preto da Eva,Com. Olhos de Águia/SUFRAMA,16/04/2022,1,Posseiro
Amazonas,Santa Isabel do Rio Negro,T. I. Médio Rio Negro II/Com. Arurá,30/06/2022,162,Indígenas
Amazonas,Santa Isabel do Rio Negro,T. I. Médio Rio Negro II/Com. Arurá,17/09/2022,162,Indígenas
Amazonas,São Paulo de Olivença,Com. Kambeba/Castanhal do Ajaratuba,23/11/2022,700,Indígenas
Amazonas,Tapauá,Terra Indígena Igarapé São João,15/02/2022,1,Indígenas
Amazonas,Tapauá,"Floresta Estadual de Tapauá/Marizal/Duas
BMoacnags/uSeiarnãtoo/ SAonlt ôNnaisoc/eSnotceo/zMala/loPicna/heDiorios/
Unidos/Central",21/06/2022,1,Ribeirinho
Amazonas,Tapauá,Comunidade Camaruã/Foz de Tapauá,30/09/2022,1000,Posseiro
Amazonas,Tapauá,Comunidade Camaruã/Foz de Tapauá,20/11/2022,1000,Posseiro
Amazonas,Tapauá,"Floresta Estadual de Tapauá/Marizal/Duas
BMoacnags/uSeiarnãtoo/ SAonlt ôNnaisoc/eSnotceo/zMala/loPicna/heDiorios/
Unidos/Central",20/11/2022,1,Ribeirinho
Amazonas,Tefé,T.I. Ilha do Panamim/T.I. Boará/Boarazinho,10/05/2022,8,Indígenas
Amazonas,Tefé,T.I. Ilha do Panamim/T.I. Boará/Boarazinho,13/05/2022,8,Indígenas
Bahia,Antônio Gonçalves,Com. Baixinha,29/11/2022,1,Camponês de fundo e fecho de pasto
Bahia,Antônio Gonçalves,Mucambo,29/11/2022,58,Camponês de fundo e fecho de pasto
