Estado,Município(s),Nome do Conflito,Data,Trabalhadores,Resgatados,Menores,Tipo de trabalho
Maranhao,Bom Jesus das Selvas,Fazenda Pedreira 002,20/09/2021,3,2,,Cultivo de Milho
Maranhao,Carolina,Fazenda Horizonte,13/10/2021,25,0,,Lavoura de Milho e Soja
Maranhao,Codó,Faz. em Codó,30/12/2021,1,1,,Criação de bovinos
Maranhao,Itinga do Maranhão,Fazenda Bela Vista,18/06/2021,1,1,,Criação de Bovinos
Maranhao,Mirador,Povoado Liso/Carvoaria,25/10/2021,11,11,,Produção de Carvão
Maranhao,Riachão,Fazenda Santa Rita,25/10/2021,15,15,,cPrueltipvaor od de os osjoalo para
Maranhao,São Félix de Balsas,Carvoaria em São Felix de Balsas,23/12/2021,6,6,,Produção de carvão
Maranhao,Sucupira do Norte,Fazenda Recreio Curral Velho,27/08/2021,1,1,,Lavoura do Seja
Mato Grosso,Bom Jesus do Araguaia,Faz Guapeva Agropecuária Quantum,23/11/2021,25,,,Plantio de Soja
Mato Grosso,Cáceres,Estância Bela Vista,31/12/2021,1,1,,cCoriratçeão de bovinos para
Mato Grosso,Guarantã do Norte,Fazenda Marupá,15/09/2021,6,6,,CGornãsotsrução de Silo de
Mato Grosso,Itaúba,Fazenda Eldorado,15/09/2021,5,5,,Catação de raízes
Mato Grosso,Juína,FAaRzReUndDaA  ÁGgUuIaM BAoRaA/ESSELMA PINTO DE,25/02/2021,1,1,,Criação de Gado
Mato Grosso,Juína,FDaAzeMnIAdNaI Água Boa/MOACIR JOSE,25/02/2021,1,1,,Criação de gado
Mato Grosso,Nossa Senhora do Livramento,Fazenda Estância 3E,11/05/2021,1,1,,Criação de bovinos
Mato Grosso,Rosário Oeste,Rancho Vó Fia,20/08/2021,2,2,,Serviços Domésticos
Mato Grosso do Sul,Anastácio,Fazenda Graça de Deus,19/05/2021,20,20,,Extração de madeira
Mato Grosso do Sul,Antônio João,Fazenda Itaguassú,26/05/2021,11,11,4,"lLaivmopuerza ad, ep rmeilphaoro da"
Mato Grosso do Sul,Campo Grande,Fazenda Três Marias,03/11/2021,3,3,,Cultivo de soja
Mato Grosso do Sul,Corumbá,Fazenda de Gado em Corumbá,30/12/2021,2,2,,Criação de gado
Mato Grosso do Sul,Corumbá,Faz. Baia do Cambará Redondo,20/10/2021,2,2,,cCoriratçeão de gado de
Mato Grosso do Sul,Corumbá,Fazenda de Gado em Corumbá,30/12/2021,4,4,,Criação de gado
Mato Grosso do Sul,Ponta Porã,Fazenda Pindorama,19/08/2021,8,8,,Cultivo de eucalipto
Mato Grosso do Sul,Porto Murtinho,Fazenda Canadá,20/11/2021,5,5,,Criação de gado
Mato Grosso do Sul,Porto Murtinho,Fazenda Nova Paradouro,31/01/2021,3,3,,Criação de gado
Mato Grosso do Sul,Sidrolândia,Fazenda de Gado em Sidrolândia,31/01/2021,22,22,5,Cultivo de soja
Minas Gerais,Abadia dos Dourados,Carvoaria do Daniel,19/04/2021,12,12,0,Produção de Carvão
