"Ano","Geocodigo","Valor","Tipo"
"1999",5221197,1,"embargos_desmatamento"
"1999",5300108,1,"embargos_desmatamento"
"2000",1100023,1,"embargos_desmatamento"
"2000",1100122,6,"embargos_desmatamento"
"2000",1100148,1,"embargos_desmatamento"
"2000",1100155,2,"embargos_desmatamento"
"2000",1100189,1,"embargos_desmatamento"
"2000",1100254,2,"embargos_desmatamento"
"2000",1100304,1,"embargos_desmatamento"
"2000",1100403,1,"embargos_desmatamento"
"2000",1100601,1,"embargos_desmatamento"
"2000",1100700,2,"embargos_desmatamento"
"2000",1100809,1,"embargos_desmatamento"
"2000",1100940,1,"embargos_desmatamento"
"2000",1101302,2,"embargos_desmatamento"
"2000",1101500,1,"embargos_desmatamento"
"2000",1302405,1,"embargos_desmatamento"
"2000",1400050,1,"embargos_desmatamento"
"2000",1500602,1,"embargos_desmatamento"
"2000",1501402,1,"embargos_desmatamento"
"2000",1505304,1,"embargos_desmatamento"
"2000",1505502,1,"embargos_desmatamento"
"2000",1506807,1,"embargos_desmatamento"
"2000",1508357,2,"embargos_desmatamento"
"2000",1508407,1,"embargos_desmatamento"
"2000",1703107,1,"embargos_desmatamento"
"2000",1708205,1,"embargos_desmatamento"
"2000",1713205,1,"embargos_desmatamento"
"2000",1722107,1,"embargos_desmatamento"
"2000",2100055,1,"embargos_desmatamento"
"2000",2109502,2,"embargos_desmatamento"
"2000",2111300,1,"embargos_desmatamento"
"2000",2202000,1,"embargos_desmatamento"
"2000",2404507,1,"embargos_desmatamento"
"2000",2414209,2,"embargos_desmatamento"
"2000",2503209,1,"embargos_desmatamento"
"2000",2510808,1,"embargos_desmatamento"
"2000",2512903,1,"embargos_desmatamento"
"2000",2600401,1,"embargos_desmatamento"
"2000",2700300,1,"embargos_desmatamento"
"2000",2701902,1,"embargos_desmatamento"
"2000",2706901,1,"embargos_desmatamento"
"2000",2707305,1,"embargos_desmatamento"
"2000",2800308,1,"embargos_desmatamento"
"2000",2800704,1,"embargos_desmatamento"
"2000",2802106,1,"embargos_desmatamento"
"2000",2802809,1,"embargos_desmatamento"
"2000",2806305,1,"embargos_desmatamento"
"2000",2900702,1,"embargos_desmatamento"
"2000",2902252,1,"embargos_desmatamento"
"2000",2905602,1,"embargos_desmatamento"
"2000",2906907,1,"embargos_desmatamento"
"2000",2909307,2,"embargos_desmatamento"
"2000",2910602,1,"embargos_desmatamento"
"2000",2910727,1,"embargos_desmatamento"
"2000",2916005,2,"embargos_desmatamento"
"2000",2923506,2,"embargos_desmatamento"
"2000",2923605,1,"embargos_desmatamento"
"2000",2926657,1,"embargos_desmatamento"
"2000",2928901,1,"embargos_desmatamento"
"2000",2930758,1,"embargos_desmatamento"
"2000",3101300,1,"embargos_desmatamento"
"2000",3103504,1,"embargos_desmatamento"
"2000",3104502,1,"embargos_desmatamento"
"2000",3104601,1,"embargos_desmatamento"
"2000",3105608,1,"embargos_desmatamento"
"2000",3106200,2,"embargos_desmatamento"
"2000",3107208,1,"embargos_desmatamento"
"2000",3109451,1,"embargos_desmatamento"
"2000",3111804,1,"embargos_desmatamento"
"2000",3112000,1,"embargos_desmatamento"
"2000",3112109,1,"embargos_desmatamento"
"2000",3115102,1,"embargos_desmatamento"
"2000",3117801,1,"embargos_desmatamento"
"2000",3118601,1,"embargos_desmatamento"
"2000",3119302,1,"embargos_desmatamento"
"2000",3119401,1,"embargos_desmatamento"
"2000",3121209,1,"embargos_desmatamento"
"2000",3121308,1,"embargos_desmatamento"
"2000",3124104,1,"embargos_desmatamento"
"2000",3126000,1,"embargos_desmatamento"
"2000",3126703,1,"embargos_desmatamento"
"2000",3127800,1,"embargos_desmatamento"
"2000",3128402,1,"embargos_desmatamento"
"2000",3132404,1,"embargos_desmatamento"
"2000",3135704,1,"embargos_desmatamento"
"2000",3136306,1,"embargos_desmatamento"
"2000",3136652,1,"embargos_desmatamento"
"2000",3136702,1,"embargos_desmatamento"
"2000",3137601,1,"embargos_desmatamento"
"2000",3139003,1,"embargos_desmatamento"
"2000",3140001,5,"embargos_desmatamento"
"2000",3142106,1,"embargos_desmatamento"
"2000",3146107,1,"embargos_desmatamento"
"2000",3147006,1,"embargos_desmatamento"
"2000",3149903,1,"embargos_desmatamento"
"2000",3150406,1,"embargos_desmatamento"
"2000",3150901,1,"embargos_desmatamento"
"2000",3151800,1,"embargos_desmatamento"
"2000",3152600,1,"embargos_desmatamento"
"2000",3153905,1,"embargos_desmatamento"
"2000",3154606,1,"embargos_desmatamento"
"2000",3155306,1,"embargos_desmatamento"
"2000",3156908,3,"embargos_desmatamento"
"2000",3157609,1,"embargos_desmatamento"
"2000",3163706,1,"embargos_desmatamento"
"2000",3164704,1,"embargos_desmatamento"
"2000",3170008,1,"embargos_desmatamento"
"2000",3170206,3,"embargos_desmatamento"
"2000",3170701,1,"embargos_desmatamento"
"2000",3200136,1,"embargos_desmatamento"
"2000",3201001,1,"embargos_desmatamento"
"2000",3201407,1,"embargos_desmatamento"
"2000",3201506,1,"embargos_desmatamento"
"2000",3202405,1,"embargos_desmatamento"
"2000",3202702,1,"embargos_desmatamento"
"2000",3203205,1,"embargos_desmatamento"
"2000",3203908,1,"embargos_desmatamento"
"2000",3204559,1,"embargos_desmatamento"
"2000",3205176,2,"embargos_desmatamento"
"2000",3300936,1,"embargos_desmatamento"
"2000",3301702,1,"embargos_desmatamento"
"2000",3303807,1,"embargos_desmatamento"
"2000",3304557,1,"embargos_desmatamento"
"2000",3305554,1,"embargos_desmatamento"
"2000",3502002,1,"embargos_desmatamento"
"2000",4202453,1,"embargos_desmatamento"
"2000",4206504,1,"embargos_desmatamento"
"2000",4208906,1,"embargos_desmatamento"
"2000",4210050,1,"embargos_desmatamento"
"2000",4215604,1,"embargos_desmatamento"
"2000",4300109,1,"embargos_desmatamento"
"2000",4300406,1,"embargos_desmatamento"
"2000",4302105,3,"embargos_desmatamento"
"2000",4303004,2,"embargos_desmatamento"
"2000",4304408,1,"embargos_desmatamento"
"2000",4304663,1,"embargos_desmatamento"
"2000",4305108,4,"embargos_desmatamento"
"2000",4306601,1,"embargos_desmatamento"
"2000",4307906,1,"embargos_desmatamento"
"2000",4308201,1,"embargos_desmatamento"
"2000",4309100,1,"embargos_desmatamento"
"2000",4311981,1,"embargos_desmatamento"
"2000",4314027,1,"embargos_desmatamento"
"2000",4314407,2,"embargos_desmatamento"
"2000",4314423,3,"embargos_desmatamento"
"2000",4316402,4,"embargos_desmatamento"
"2000",4316907,1,"embargos_desmatamento"
"2000",4317251,1,"embargos_desmatamento"
"2000",4317301,1,"embargos_desmatamento"
"2000",4317400,2,"embargos_desmatamento"
"2000",4317509,2,"embargos_desmatamento"
"2000",4318101,1,"embargos_desmatamento"
"2000",4318200,2,"embargos_desmatamento"
"2000",4318804,1,"embargos_desmatamento"
"2000",4319125,2,"embargos_desmatamento"
"2000",4319711,1,"embargos_desmatamento"
"2000",4321303,1,"embargos_desmatamento"
"2000",4322400,1,"embargos_desmatamento"
"2000",5003454,1,"embargos_desmatamento"
"2000",5100201,1,"embargos_desmatamento"
"2000",5101605,1,"embargos_desmatamento"
"2000",5102702,1,"embargos_desmatamento"
"2000",5103056,1,"embargos_desmatamento"
"2000",5103304,2,"embargos_desmatamento"
"2000",5105101,1,"embargos_desmatamento"
"2000",5105903,1,"embargos_desmatamento"
"2000",5106257,1,"embargos_desmatamento"
"2000",5108105,1,"embargos_desmatamento"
"2000",5208608,1,"embargos_desmatamento"
"2000",5210406,1,"embargos_desmatamento"
"2000",5217104,2,"embargos_desmatamento"
"2000",5217302,1,"embargos_desmatamento"
"2000",5221601,1,"embargos_desmatamento"
"2000",5300108,1,"embargos_desmatamento"
"2001",1100015,1,"embargos_desmatamento"
"2001",1100031,1,"embargos_desmatamento"
"2001",1100049,1,"embargos_desmatamento"
"2001",1100080,3,"embargos_desmatamento"
"2001",1100122,1,"embargos_desmatamento"
"2001",1100189,1,"embargos_desmatamento"
"2001",1100205,3,"embargos_desmatamento"
"2001",1100288,1,"embargos_desmatamento"
"2001",1100304,2,"embargos_desmatamento"
"2001",1100320,1,"embargos_desmatamento"
"2001",1100338,1,"embargos_desmatamento"
"2001",1100346,2,"embargos_desmatamento"
"2001",1100379,2,"embargos_desmatamento"
"2001",1100452,1,"embargos_desmatamento"
"2001",1100924,1,"embargos_desmatamento"
"2001",1101468,1,"embargos_desmatamento"
"2001",1101492,7,"embargos_desmatamento"
"2001",1101500,1,"embargos_desmatamento"
"2001",1101609,2,"embargos_desmatamento"
"2001",1200401,1,"embargos_desmatamento"
"2001",1200500,1,"embargos_desmatamento"
"2001",1400159,1,"embargos_desmatamento"
"2001",1400175,1,"embargos_desmatamento"
"2001",1400209,1,"embargos_desmatamento"
"2001",1400308,1,"embargos_desmatamento"
"2001",1400456,2,"embargos_desmatamento"
"2001",1400472,1,"embargos_desmatamento"
"2001",1500347,1,"embargos_desmatamento"
"2001",1501402,1,"embargos_desmatamento"
"2001",1503077,1,"embargos_desmatamento"
"2001",1503606,4,"embargos_desmatamento"
"2001",1505031,22,"embargos_desmatamento"
"2001",1505106,1,"embargos_desmatamento"
"2001",1505304,1,"embargos_desmatamento"
"2001",1505809,1,"embargos_desmatamento"
"2001",1507508,1,"embargos_desmatamento"
"2001",1507953,1,"embargos_desmatamento"
"2001",1701101,1,"embargos_desmatamento"
"2001",1701309,1,"embargos_desmatamento"
"2001",1702406,1,"embargos_desmatamento"
"2001",1708304,1,"embargos_desmatamento"
"2001",1711951,1,"embargos_desmatamento"
"2001",1716604,1,"embargos_desmatamento"
"2001",1718865,1,"embargos_desmatamento"
"2001",1720655,1,"embargos_desmatamento"
"2001",1720804,1,"embargos_desmatamento"
"2001",2102036,2,"embargos_desmatamento"
"2001",2105427,1,"embargos_desmatamento"
"2001",2109908,1,"embargos_desmatamento"
"2001",2211001,2,"embargos_desmatamento"
"2001",2300200,1,"embargos_desmatamento"
"2001",2300309,1,"embargos_desmatamento"
"2001",2303907,1,"embargos_desmatamento"
"2001",2304301,1,"embargos_desmatamento"
"2001",2308500,2,"embargos_desmatamento"
"2001",2401206,2,"embargos_desmatamento"
"2001",2403608,1,"embargos_desmatamento"
"2001",2408201,1,"embargos_desmatamento"
"2001",2413201,3,"embargos_desmatamento"
"2001",2413359,1,"embargos_desmatamento"
"2001",2414209,3,"embargos_desmatamento"
"2001",2507507,1,"embargos_desmatamento"
"2001",2607208,1,"embargos_desmatamento"
"2001",2611101,1,"embargos_desmatamento"
"2001",2703809,1,"embargos_desmatamento"
"2001",2705507,1,"embargos_desmatamento"
"2001",2706802,1,"embargos_desmatamento"
"2001",2708006,1,"embargos_desmatamento"
"2001",2800605,1,"embargos_desmatamento"
"2001",2801702,1,"embargos_desmatamento"
"2001",2802106,4,"embargos_desmatamento"
"2001",2802908,1,"embargos_desmatamento"
"2001",2803906,1,"embargos_desmatamento"
"2001",2806305,1,"embargos_desmatamento"
"2001",2806701,1,"embargos_desmatamento"
"2001",2807204,1,"embargos_desmatamento"
"2001",2901304,1,"embargos_desmatamento"
"2001",2901353,1,"embargos_desmatamento"
"2001",2904704,1,"embargos_desmatamento"
"2001",2905800,1,"embargos_desmatamento"
"2001",2906600,1,"embargos_desmatamento"
"2001",2911204,1,"embargos_desmatamento"
"2001",2915700,1,"embargos_desmatamento"
"2001",2916401,1,"embargos_desmatamento"
"2001",2919306,2,"embargos_desmatamento"
"2001",2919504,2,"embargos_desmatamento"
"2001",2920601,1,"embargos_desmatamento"
"2001",2922607,2,"embargos_desmatamento"
"2001",2923209,1,"embargos_desmatamento"
"2001",2925303,1,"embargos_desmatamento"
"2001",2926657,1,"embargos_desmatamento"
"2001",2928505,1,"embargos_desmatamento"
"2001",2930006,1,"embargos_desmatamento"
"2001",2931202,1,"embargos_desmatamento"
"2001",2932507,1,"embargos_desmatamento"
"2001",2933307,3,"embargos_desmatamento"
"2001",3101201,1,"embargos_desmatamento"
"2001",3103504,1,"embargos_desmatamento"
"2001",3104908,1,"embargos_desmatamento"
"2001",3105301,1,"embargos_desmatamento"
"2001",3110301,1,"embargos_desmatamento"
"2001",3110509,1,"embargos_desmatamento"
"2001",3113404,1,"embargos_desmatamento"
"2001",3116605,1,"embargos_desmatamento"
"2001",3120508,1,"embargos_desmatamento"
"2001",3127107,1,"embargos_desmatamento"
"2001",3128204,1,"embargos_desmatamento"
"2001",3131307,1,"embargos_desmatamento"
"2001",3133006,1,"embargos_desmatamento"
"2001",3135050,1,"embargos_desmatamento"
"2001",3137205,1,"embargos_desmatamento"
"2001",3137908,1,"embargos_desmatamento"
"2001",3140001,1,"embargos_desmatamento"
"2001",3142809,1,"embargos_desmatamento"
"2001",3148103,1,"embargos_desmatamento"
"2001",3149309,1,"embargos_desmatamento"
"2001",3152808,1,"embargos_desmatamento"
"2001",3154457,1,"embargos_desmatamento"
"2001",3161700,1,"embargos_desmatamento"
"2001",3163706,1,"embargos_desmatamento"
"2001",3165206,2,"embargos_desmatamento"
"2001",3166204,1,"embargos_desmatamento"
"2001",3167202,1,"embargos_desmatamento"
"2001",3167301,1,"embargos_desmatamento"
"2001",3168101,1,"embargos_desmatamento"
"2001",3168705,1,"embargos_desmatamento"
"2001",3168903,1,"embargos_desmatamento"
"2001",3170107,1,"embargos_desmatamento"
"2001",3170438,4,"embargos_desmatamento"
"2001",3200300,1,"embargos_desmatamento"
"2001",3200706,1,"embargos_desmatamento"
"2001",3200805,1,"embargos_desmatamento"
"2001",3201209,1,"embargos_desmatamento"
"2001",3201308,1,"embargos_desmatamento"
"2001",3201407,2,"embargos_desmatamento"
"2001",3201704,1,"embargos_desmatamento"
"2001",3201902,2,"embargos_desmatamento"
"2001",3202405,2,"embargos_desmatamento"
"2001",3202553,1,"embargos_desmatamento"
"2001",3203007,1,"embargos_desmatamento"
"2001",3203056,2,"embargos_desmatamento"
"2001",3203205,2,"embargos_desmatamento"
"2001",3203908,1,"embargos_desmatamento"
"2001",3204906,1,"embargos_desmatamento"
"2001",3205036,1,"embargos_desmatamento"
"2001",3205176,1,"embargos_desmatamento"
"2001",3300100,1,"embargos_desmatamento"
"2001",3300258,1,"embargos_desmatamento"
"2001",3301306,1,"embargos_desmatamento"
"2001",3303302,1,"embargos_desmatamento"
"2001",3304300,1,"embargos_desmatamento"
"2001",3304557,2,"embargos_desmatamento"
"2001",3305000,1,"embargos_desmatamento"
"2001",3305752,1,"embargos_desmatamento"
"2001",3305802,1,"embargos_desmatamento"
"2001",3512001,1,"embargos_desmatamento"
"2001",3520426,1,"embargos_desmatamento"
"2001",3524204,1,"embargos_desmatamento"
"2001",3525904,1,"embargos_desmatamento"
"2001",3539301,1,"embargos_desmatamento"
"2001",3543402,1,"embargos_desmatamento"
"2001",3555406,1,"embargos_desmatamento"
"2001",3556800,1,"embargos_desmatamento"
"2001",4118204,1,"embargos_desmatamento"
"2001",4120358,1,"embargos_desmatamento"
"2001",4200101,1,"embargos_desmatamento"
"2001",4205407,1,"embargos_desmatamento"
"2001",4207007,1,"embargos_desmatamento"
"2001",4212403,1,"embargos_desmatamento"
"2001",4213807,1,"embargos_desmatamento"
