system:index,AREA_KM2,CD_MUN,NM_MUN,SIGLA_UF,sum,.geo
00000000000000000618,914.722,2705002,Mata Grande,AL,367.35799443361725,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000619,238.113,2705101,Matriz de Camaragibe,AL,31.61220402221678,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061a,114.156,2705200,Messias,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061b,167.462,2705309,Minador do Negrão,AL,59.42913439848062,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061c,86.604,2705408,Monteirópolis,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061d,418.028,2705507,Murici,AL,18.094527990722632,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061e,215.547,2705606,Novo Lino,AL,67.9360875916485,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061f,188.221,2705705,Olho d'Água das Flores,AL,61.21147159423821,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000620,327.678,2705804,Olho d'Água do Casado,AL,47.81728022460956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000621,117.006,2705903,Olho d'Água Grande,AL,1.1447486267089846,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000622,175.288,2706000,Olivença,AL,3.351558251953127,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000623,196.56,2706109,Ouro Branco,AL,47.62873966028549,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000624,38.189,2706208,Palestina,AL,1.4984921020507813,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000625,450.99,2706307,Palmeira dos Índios,AL,92.99188643188481,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000626,688.87,2706406,Pão de Açúcar,AL,96.38334101749206,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000627,254.719,2706422,Pariconha,AL,21.80343471315873,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000628,92.788,2706448,Paripueira,AL,4.587001000976562,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000629,251.29,2706505,Passo de Camaragibe,AL,79.43554440307621,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062a,118.457,2706604,Paulo Jacinto,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062b,688.452,2706703,Penedo,AL,67.23917215576199,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062c,243.686,2706802,Piaçabuçu,AL,12.22929087524412,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062d,259.614,2706901,Pilar,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062e,117.086,2707008,Pindoba,AL,47.721565686035156,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062f,403.995,2707107,Piranhas,AL,87.3981188537606,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000630,284.26,2707206,Poço das Trincheiras,AL,99.98284226435659,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000631,313.231,2707305,Porto Calvo,AL,27.504716056793818,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000632,257.105,2707404,Porto de Pedras,AL,37.08182402954104,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000633,235.852,2707503,Porto Real do Colégio,AL,14.437971655273444,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000634,319.829,2707602,Quebrangulo,AL,40.98400449534688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000635,293.816,2707701,Rio Largo,AL,35.81346520996103,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000636,128.926,2707800,Roteiro,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000637,28.857,2707909,Santa Luzia do Norte,AL,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000638,436.16,2708006,Santana do Ipanema,AL,353.6955207283095,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000639,232.169,2708105,Santana do Mundaú,AL,32.1734329969219,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063a,139.038,2708204,São Brás,AL,13.735106237792973,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063b,256.603,2708303,São José da Laje,AL,9.980355621337896,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063c,490.879,2708402,São José da Tapera,AL,29.514500102467238,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063d,397.257,2708501,São Luís do Quitunde,AL,22.153105035400408,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063e,335.683,2708600,São Miguel dos Campos,AL,3.8776897583007823,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063f,76.731,2708709,São Miguel dos Milagres,AL,20.125354205322267,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000640,314.924,2708808,São Sebastião,AL,28.04301552995275,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000641,41.268,2708907,Satuba,AL,2.9101778930664057,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000642,338.569,2708956,Senador Rui Palmeira,AL,17.82349572143556,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000643,124.617,2709004,Tanque d'Arca,AL,6.733525794031481,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000644,153.841,2709103,Taquarana,AL,1.9397582946777343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000645,299.221,2709152,Teotônio Vilela,AL,48.56790921511194,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000646,681.577,2709202,Traipu,AL,284.58315400424095,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000647,420.376,2709301,União dos Palmares,AL,121.01545056717222,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000648,367.888,2709400,Viçosa,AL,25.408244952392565,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,5923.461,1300029,Alvarães,AM,734.072799414064,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,4754.109,1300060,Amaturá,AM,54.348027154540986,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,2446.121,1300086,Anamã,AM,172.0075122965972,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,6036.38,1300102,Anori,AM,44.99412493800758,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,54240.545,1300144,Apuí,AM,106210.98371502139,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,76507.617,1300201,Atalaia do Norte,AM,231.4163552062989,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,7652.852,1300300,Autazes,AM,9208.478589330694,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,122461.086,1300409,Barcelos,AM,171.33330723266602,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,5751.765,1300508,Barreirinha,AM,814.944338559547,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,8705.441,1300607,Benjamin Constant,AM,210.89748429852696,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,17472.779,1300631,Beruri,AM,968.4822579071205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,2589.407,1300680,Boa Vista do Ramos,AM,349.55985371684955,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,21938.583,1300706,Boca do Acre,AM,38045.42780564119,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,44236.184,1300805,Borba,AM,5325.167261593333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,9455.539,1300839,Caapiranga,AM,201.40661003326875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,33642.732,1300904,Canutama,AM,28225.26627017046,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,25778.658,1301001,Carauari,AM,105.78221405029291,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,6096.212,1301100,Careiro,AM,1159.8219291513476,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,2627.474,1301159,Careiro da Várzea,AM,4590.398437985346,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,57970.768,1301209,Coari,AM,506.77758935546865,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,18700.713,1301308,Codajás,AM,140.5305239807131,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,14966.242,1301407,Eirunepé,AM,1273.6564192560156,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,7505.794,1301506,Envira,AM,3257.7305984706904,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,12155.427,1301605,Fonte Boa,AM,60.55423601074223,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,7583.534,1301654,Guajará,AM,5883.583155133759,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,33111.129,1301704,Humaitá,AM,36830.81090251198,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,12109.779,1301803,Ipixuna,AM,3020.146722264523,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,2216.817,1301852,Iranduba,AM,72.94246558402267,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,8891.906,1301902,Itacoatiara,AM,4243.232272092598,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,25260.429,1301951,Itamarati,AM,222.72142338867206,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,4335.075,1302009,Itapiranga,AM,320.51580140380827,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,55827.203,1302108,Japurá,AM,428.9989342529299,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,19442.548,1302207,Juruá,AM,154.46984886474596,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,69457.415,1302306,Jutaí,AM,148.5315104672661,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,68262.68,1302405,Lábrea,AM,124022.74319963717,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,7336.579,1302504,Manacapuru,AM,608.0574633841488,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,3973.258,1302553,Manaquiri,AM,200.0778598937988,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,11401.092,1302603,Manaus,AM,791.3157187462213,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,48315.038,1302702,Manicoré,AM,38163.15515552554,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,16830.827,1302801,Maraã,AM,197.96570625610352,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,39991.066,1302900,Maués,AM,18519.081831706906,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,14107.04,1303007,Nhamundá,AM,825.4360961026321,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,5578.132,1303106,Nova Olinda do Norte,AM,1853.3730106181856,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,37776.77,1303205,Novo Airão,AM,164.6868892456054,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,41179.656,1303304,Novo Aripuanã,AM,48926.03659536609,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,5956.047,1303403,Parintins,AM,630.485694678817,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,41624.664,1303502,Pauini,AM,5944.374204714479,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,25459.099,1303536,Presidente Figueiredo,AM,2998.8976191599086,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,5815.622,1303569,Rio Preto da Eva,AM,855.2993580699992,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,62800.078,1303601,Santa Isabel do Rio Negro,AM,175.1250728637691,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,12366.214,1303700,Santo Antônio do Içá,AM,181.84566314697273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,109192.562,1303809,São Gabriel da Cachoeira,AM,553.5619525390629,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,19658.502,1303908,São Paulo de Olivença,AM,143.89910119928092,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,10647.463,1303957,São Sebastião do Uatumã,AM,645.2932622863783,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,3723.382,1304005,Silves,AM,253.05035735473638,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,3260.103,1304062,Tabatinga,AM,364.53347924194304,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,84946.035,1304104,Tapauá,AM,11438.086233015803,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,23692.223,1304203,Tefé,AM,1280.7880104736325,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,6446.894,1304237,Tonantins,AM,52.416559259033185,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,10274.677,1304260,Uarini,AM,598.5685968505878,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,27901.962,1304302,Urucará,AM,232.23993942260802,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,2886.494,1304401,Urucurituba,AM,230.6333026876785,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,7713.046,1600055,Serra do Navio,AP,34.58266520385737,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,8454.847,1600105,Amapá,AP,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,9622.29,1600154,Pedra Branca do Amapari,AP,200.93867914428708,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,14117.297,1600204,Calçoene,AP,108.69251234741209,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,2179.114,1600212,Cutias,AP,9.296167028808592,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,4973.855,1600238,Ferreira Gomes,AP,6.7932625244140645,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,1622.867,1600253,Itaubal,AP,7.240818963623042,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,30782.998,1600279,Laranjal do Jari,AP,311.43490288696347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,6563.849,1600303,Macapá,AP,88.85281162109354,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,13294.778,1600402,Mazagão,AP,245.387619256591,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,23034.392,1600501,Oiapoque,AP,70.84981773071291,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104,4428.013,1600535,Porto Grande,AP,224.19768050537138,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,4948.508,1600550,Pracuúba,AP,21.7145276184082,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106,1541.224,1600600,Santana,AP,12.515569641113277,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000107,6684.705,1600709,Tartarugalzinho,AP,87.94377352905269,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108,2508.979,1600808,Vitória do Jari,AP,326.5229648498539,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000694,538.677,2900108,Abaíra,BA,50.35254985380284,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000695,1604.923,2900207,Abaré,BA,305.41349270019424,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000696,181.475,2900306,Acajutiba,BA,95.5354636611041,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000697,629.099,2900355,Adustina,BA,340.3462993180347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000698,742.775,2900405,Água Fria,BA,802.1327369517421,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000699,735.249,2900504,Érico Cardoso,BA,162.8732802673578,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069a,167.877,2900603,Aiquara,BA,277.26807412995026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069b,707.835,2900702,Alagoinhas,BA,116.06040880737301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069c,1477.929,2900801,Alcobaça,BA,442.458408411433,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069d,245.236,2900900,Almadina,BA,152.5236989853085,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069e,431.655,2901007,Amargosa,BA,71.12001478278661,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069f,166.872,2901106,Amélia Rodrigues,BA,11.620382232666019,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a0,822.373,2901155,América Dourada,BA,207.23110330042306,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a1,1899.683,2901205,Anagé,BA,498.8996219822545,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a2,1590.316,2901304,Andaraí,BA,193.99293868460776,"{""type"":""MultiPoint"",""coordinates"":[]}"
