system:index,AREA_KM2,CD_MUN,NM_MUN,SIGLA_UF,mapbiomas_deforestation_2021,mapbiomas_deforestation_2022,.geo
0000000000000000061e,215.547,2705606,Novo Lino,AL,4.1404755035041365,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000061f,188.221,2705705,Olho d'Água das Flores,AL,0.6173679016113282,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000620,327.678,2705804,Olho d'Água do Casado,AL,1.4114730834960936,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000621,117.006,2705903,Olho d'Água Grande,AL,1.409597722526999,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000622,175.288,2706000,Olivença,AL,0.08819413452148438,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000623,196.56,2706109,Ouro Branco,AL,0.08828658447265625,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000624,38.189,2706208,Palestina,AL,5.288852496337892,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000625,450.99,2706307,Palmeira dos Índios,AL,1.2349983825683595,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000626,688.87,2706406,Pão de Açúcar,AL,6.523389367675781,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000627,254.719,2706422,Pariconha,AL,2.383260852050781,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000628,92.788,2706448,Paripueira,AL,4.8523298095703105,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000629,251.29,2706505,Passo de Camaragibe,AL,10.829374714570886,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062a,118.457,2706604,Paulo Jacinto,AL,0.3529504760742188,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062b,688.452,2706703,Penedo,AL,40.374764136220904,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062c,243.686,2706802,Piaçabuçu,AL,352.94520355650656,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062d,259.614,2706901,Pilar,AL,5.287027710200292,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062e,117.086,2707008,Pindoba,AL,1.940668206787109,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062f,403.995,2707107,Piranhas,AL,0.9701125549316405,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000630,284.26,2707206,Poço das Trincheiras,AL,4.591597976552927,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000631,313.231,2707305,Porto Calvo,AL,2.2961314208984374,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000632,257.105,2707404,Porto de Pedras,AL,10.859387957763673,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000633,235.852,2707503,Porto Real do Colégio,AL,0.5282161926269532,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000634,319.829,2707602,Quebrangulo,AL,1.0592298400878908,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000635,293.816,2707701,Rio Largo,AL,4.467563063294653,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000636,128.926,2707800,Roteiro,AL,3.133686548808978,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000637,28.857,2707909,Santa Luzia do Norte,AL,1.5871837524414063,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000638,436.16,2708006,Santana do Ipanema,AL,13.837346122568166,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000639,232.169,2708105,Santana do Mundaú,AL,2.5607702697753902,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063a,139.038,2708204,São Brás,AL,4.3940665996955435,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063b,256.603,2708303,São José da Laje,AL,1.678343035888672,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063c,490.879,2708402,São José da Tapera,AL,2.3811739990234377,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063d,397.257,2708501,São Luís do Quitunde,AL,8.146293828866996,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063e,335.683,2708600,São Miguel dos Campos,AL,7.402776165771484,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000063f,76.731,2708709,São Miguel dos Milagres,AL,2.5599595886230473,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000640,314.924,2708808,São Sebastião,AL,2.2900802978515626,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000641,41.268,2708907,Satuba,AL,0.4748167379222197,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000642,338.569,2708956,Senador Rui Palmeira,AL,1.8526837829589844,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000643,124.617,2709004,Tanque d'Arca,AL,3.3366143286611516,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000644,153.841,2709103,Taquarana,AL,2.1931096560250074,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000645,299.221,2709152,Teotônio Vilela,AL,1.144992218017578,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000646,681.577,2709202,Traipu,AL,15.072716817914177,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000647,420.376,2709301,União dos Palmares,AL,11.348875968759572,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000648,367.888,2709400,Viçosa,AL,5.3819924804687505,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,5923.461,1300029,Alvarães,AM,1437.276962847898,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,4754.109,1300060,Amaturá,AM,85.04941408691403,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
