system:index,AREA_KM2,CD_MUN,NM_MUN,SIGLA_UF,sum,.geo
00000000000000000039,8891.906,1301902,Itacoatiara,AM,128973.30116710771,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,25260.429,1301951,Itamarati,AM,1521654.433077186,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,4335.075,1302009,Itapiranga,AM,173320.82651863978,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,55827.203,1302108,Japurá,AM,2652835.040917598,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,19442.548,1302207,Juruá,AM,433857.78419789043,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,69457.415,1302306,Jutaí,AM,4660824.017759186,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,68262.68,1302405,Lábrea,AM,5123377.013217214,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,7336.579,1302504,Manacapuru,AM,336446.5496568765,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,3973.258,1302553,Manaquiri,AM,204925.37422721751,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,11401.092,1302603,Manaus,AM,410238.330470575,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,48315.038,1302702,Manicoré,AM,2639430.6796319066,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,16830.827,1302801,Maraã,AM,1138425.1094525312,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,39991.066,1302900,Maués,AM,3177822.652040312,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,14107.04,1303007,Nhamundá,AM,542077.7005053749,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,5578.132,1303106,Nova Olinda do Norte,AM,445584.55738682364,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,37776.77,1303205,Novo Airão,AM,2839028.476499522,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,41179.656,1303304,Novo Aripuanã,AM,2899995.2873959625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,5956.047,1303403,Parintins,AM,107928.48098216043,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,41624.664,1303502,Pauini,AM,1550146.3413697062,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,25459.099,1303536,Presidente Figueiredo,AM,1368549.8955653487,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,5815.622,1303569,Rio Preto da Eva,AM,59846.740102690856,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,62800.078,1303601,Santa Isabel do Rio Negro,AM,4157908.0689395634,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,12366.214,1303700,Santo Antônio do Içá,AM,406417.9901479693,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,109192.562,1303809,São Gabriel da Cachoeira,AM,1.0079924596726958E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,19658.502,1303908,São Paulo de Olivença,AM,952314.8316108227,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,10647.463,1303957,São Sebastião do Uatumã,AM,409284.4691988415,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,3723.382,1304005,Silves,AM,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,3260.103,1304062,Tabatinga,AM,302255.08685925265,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,84946.035,1304104,Tapauá,AM,3746189.0404659244,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,23692.223,1304203,Tefé,AM,497284.0136325674,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,6446.894,1304237,Tonantins,AM,284147.12058258016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,10274.677,1304260,Uarini,AM,339913.96661073423,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,27901.962,1304302,Urucará,AM,1578600.6611744026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,2886.494,1304401,Urucurituba,AM,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,7713.046,1600055,Serra do Navio,AP,755706.8274095214,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,8454.847,1600105,Amapá,AP,599740.3107731917,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,9622.29,1600154,Pedra Branca do Amapari,AP,889819.5009903256,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,14117.297,1600204,Calçoene,AP,1220325.6981168871,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,2179.114,1600212,Cutias,AP,1472.7985006126157,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,4973.855,1600238,Ferreira Gomes,AP,295243.32771265425,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,1622.867,1600253,Itaubal,AP,13177.367672596218,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,30782.998,1600279,Laranjal do Jari,AP,2936431.852212696,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,6563.849,1600303,Macapá,AP,58161.65539339843,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,13294.778,1600402,Mazagão,AP,1176222.8895495324,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,23034.392,1600501,Oiapoque,AP,2201639.5985332723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104,4428.013,1600535,Porto Grande,AP,279529.56394576567,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,4948.508,1600550,Pracuúba,AP,368959.90454678953,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106,1541.224,1600600,Santana,AP,56585.95664574699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000107,6684.705,1600709,Tartarugalzinho,AP,294144.8845428199,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108,2508.979,1600808,Vitória do Jari,AP,113886.30696282777,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000694,538.677,2900108,Abaíra,BA,1896.8659350793537,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000695,1604.923,2900207,Abaré,BA,48569.987889907134,"{""type"":""MultiPoint"",""coordinates"":[]}"
