Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Data,Numero De Pessoas,Tipo De Violencia,Categoria Causou Acao,Categoria Sofreu Acao,Categoria Vitima Violencia,Eixos De Violencia,Genero,Idade,Identidade De Genero,Orientacao Sexual,Raca Cor,Municipios Vitima,Lugar
2016,Norte,TO,Santa Fé do Araguaia (TO),Fazenda Mata Grande,05/15/2016,1,Tentativa de Assassinato,Fazendeiro,Sem Terra,Sem Terra,Terra,M - Masculino,A,,,,Santa Fé do Araguaia (TO),Acampamento Mata Grande
2016,Norte,TO,Wanderlândia (TO),Fazenda Boqueirão,06/30/2016,1,Ameaça de Morte,Grileiro,Sem Terra,Sem Terra,Terra,M - Masculino,56,,,,Wanderlândia (TO),Acampamento Boqueirão
2016,Sudeste,MG,Mariana (MG),Com. Bento Rodrigues/Rompimento da Barragem da Samarco/Vale-BHP Billiton,05/04/2016,1,"Omissão/Conivência, Omissão/Conivência",,,Pequeno proprietário,Não definido,F -  Feminino,28,,,,Mariana (MG),"Com. Bento Rodrigues, Com. Bento Rodrigues"
2016,Sudeste,RJ,Paraty (RJ),Com. Tradicionais Caiçara/Baía de Paraty/Trindade/Cajaíba/Pq. Nac. da Serra de Bocaina,06/02/2016,1,Assassinato,Empresário Internacional,Caiçara,Caiçara,Terra,M - Masculino,23,,,,Paraty (RJ),Comunidade Caiçara em Trindade
2016,Sudeste,RJ,Paraty (RJ),Com. Tradicionais Caiçara/Baía de Paraty/Trindade/Cajaíba/Pq. Nac. da Serra de Bocaina,06/02/2016,1,Tentativa de Assassinato,Empresário Internacional,Caiçara,Caiçara,Terra,M - Masculino,,,,,Paraty (RJ),"Comunidade Trindade, em Paraty"
2016,Sudeste,RJ,São João da Barra (RJ),Com. Água Preta/Complexo Portuário Açu/Minas-Rio/PAC,06/29/2016,1,Tentativa de Assassinato,Empresário,Pequeno proprietário,Pequeno proprietário,Terra,M - Masculino,A,,,,São João da Barra (RJ),Comunidade de Água Preta
2016,Sul,PR,Capanema (PR),UHE Baixo Iguaçu/PAC,05/12/2016,12,Detenção,,,Atingido por barragem,Não definido,,,,,,Capanema (PR),Ocup. do canteiro de obras
2016,Sul,PR,Laranjeiras do Sul (PR),T. I. Boa Vista/Kaingang,03/03/2016,1,Prisão,,,Indígenas,Não definido,M - Masculino,A,,,Indígena,Laranjeiras do Sul (PR),Faz. Passo Liso
2016,Sul,PR,Quedas do Iguaçu (PR),Parte da Faz. da Araupel/P. A. Leomar Bhorback,04/07/2016,1,"Tentativa de Assassinato, Ferimento",Empresário,Sem Terra,Sem Terra,Terra,M - Masculino,25,,,,Quedas do Iguaçu (PR),"Acamp. Dom Tomás Balduino, Acamp. Dom Tomás Balduino"
2016,Sul,PR,Quedas do Iguaçu (PR),Parte da Faz. da Araupel/P. A. Leomar Bhorback,04/07/2016,1,Assassinato,Empresário,Sem Terra,Sem Terra,Terra,M - Masculino,25,,,,Quedas do Iguaçu (PR),Acamp. Dom Tomás Balduino
