Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Categoria Causou Acao,Categoria Sofreu Acao,Situacao Conflito Agua,Tipo Conflito Agua,Tipo De Violencia
2017,Sudeste,SP,Itaóca (SP),PCH Nova Itaoca ,Hidrelétrica,Atingido por barragem,Ameaça de expropriação,Barragens e Açudes,
2017,Sul,PR,Capanema (PR),UHE Baixo Iguaçu/PAC,Hidrelétrica,Atingido por barragem,Não reassentamento,Barragens e Açudes,
2017,Sul,PR,Clevelândia (PR),Barragem do Rio Chopim,Hidrelétrica,Ribeirinho,Ameaça de expropriação,Barragens e Açudes,
2017,Sul,PR,Paula Freitas (PR),Acampamento Reduto do Caraquatá,Governo estadual,Pescador,Diminuição do acesso à Água,Uso e preservação,
2018,Centro-Oeste,GO,Minaçu (GO),T. I. Avá Canoeiro,Hidrelétrica,Indígenas,Destruição e ou poluição,Barragens e Açudes,Danos
2018,Centro-Oeste,MT,Tabaporã (MT),Gl. Mercedes V/P.A. Wesley Manoel Santos,Hidrelétrica,Assentado,Ameaça de expropriação,Barragens e Açudes,Humilhação
2018,Nordeste,BA,Andaraí (BA),Comunidade Nova Aliança,Fazendeiro,Ribeirinho,Diminuição do acesso à Água,Apropriação Particular,
2018,Nordeste,BA,Andaraí (BA),P. A. Rio Utinga,Fazendeiro,Assentado,Diminuição do acesso à Água,Apropriação Particular,
2018,Nordeste,BA,Caetité (BA),Com. Araticum/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Caetité (BA),Com. Boa Vista/Santa Luzia/São Miguel/Barra de Caetité/Candonga/Palmital,Mineradora,Pequeno proprietário,Não cumprimento de procedimentos legais,Apropriação Particular,
2018,Nordeste,BA,Caetité (BA),Com. Casa da Roda/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Caetité (BA),Com. Flores/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Caetité (BA),Com. João Barroca/Bamin/BML,Mineradora,Geraizeiro,Destruição e ou poluição,Apropriação Particular,Impedimento de ir e vir
2018,Nordeste,BA,Caetité (BA),Com. Olho d' Água dos Pires/Projeto Pedra de Ferro/Bamin    ,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Caetité (BA),Com. Rancho do Meio/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Caetité (BA),Com. Serragem/Fiol,Mineradora internacional,Pequeno proprietário,Destruição e ou poluição,Apropriação Particular,
